o_n,tc_number_s,q1,q2,q3,q4,q5,q6,q7,o_coder1,o_coder2
"137","480",0,1,0,4,1,0,1,6,7
"224","877",0,0,1,4,1,1,1,5,7
"142","485",0,0,0,4,0,0,1,5,9
"148","492",0,0,0,4,0,0,1,1,9
"190","619",0,1,0,4,0,0,1,6,9
"7","44",0,0,0,2,0,1,1,5,9
"200","646",1,0,0,0,0,0,1,3,9
"R21","775",0,0,0,4,0,0,1,6,9
"210A","750A",1,0,0,0,0,0,1,1,9
"91","340",0,0,0,4,0,0,0,10,9
"161","534",0,0,0,1,0,1,1,7,9
"185","614",0,0,0,4,0,0,1,6,9
"210","750",1,1,0,0,0,0,0,1,9
"159","520",0,0,0,4,1,1,1,7,9
"98","359",0,0,0,4,0,0,1,3,9
"214","785",0,0,0,0,0,0,0,7,9
"R16","585",0,1,0,2,0,0,1,5,9
"181","604",0,0,0,0,0,1,1,3,9
"80","278",0,0,0,4,0,0,1,10,9
"59","237",0,0,0,4,0,0,0,10,9
"31","126",0,0,0,4,0,0,1,5,9
"70","262",0,0,0,4,0,0,1,7,9
"46","200",1,0,0,4,0,0,1,7,9
"79","274",0,0,0,4,0,0,1,2,9
"189","618",1,1,0,4,0,0,1,3,9
"219","835",1,0,1,4,0,1,1,4,9
"99","364",0,0,0,4,1,0,1,3,9
"19","75",0,0,0,4,0,0,1,1,9
"173","593",1,1,0,4,1,1,1,1,10
"106","386",0,0,0,4,0,0,1,4,10
"178","601",1,1,0,0,0,0,1,1,10
"100","367",0,0,0,4,1,0,1,4,10
"R12","451",0,1,0,4,0,0,1,1,10
"174","594",1,1,0,4,0,0,1,3,10
"145","489",0,0,0,4,0,0,1,3,10
"84","289",0,0,0,4,0,0,1,7,10
"R3","65",0,0,0,4,0,0,1,1,10
"222","855",0,0,0,3,0,1,1,9,10
"171","591",0,0,0,4,0,0,0,6,10
"168","581",0,0,0,2,0,0,1,6,10
"72","265",0,0,0,4,0,0,1,2,10
"204","667",1,0,0,2,1,0,1,9,10
"217","801",0,0,0,2,0,0,1,1,10
"128","464",0,0,0,4,0,1,1,2,10
"120","443",0,0,0,4,0,0,1,9,10
"156","514",1,1,0,4,0,0,1,6,10
"186","615",0,1,0,4,0,0,1,6,10
"166","571",0,0,0,3,1,0,1,5,10
"R9","392",0,0,0,0,0,0,0,6,10
"81","280",0,0,0,4,0,0,1,1,10
"162","537",0,0,0,4,1,1,1,7,10
"R22","784",1,0,0,0,0,0,1,5,10
"114","421",0,0,0,4,0,0,1,12,10
"135","472",0,0,0,4,0,1,1,9,10
"150","504",1,0,0,4,0,0,1,4,10
"45","197",0,0,0,4,0,0,1,5,10
