year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1925,12,651,1,3,620,1,1,.,0,325,0,0,0,0,549,0,0,4.01
1926,6,200,0,3,645,0,91009,703378,0,640,1,1,0,0,550,0,0,4.01
1926,2,920,0,3,9201,0,6,1033,1,200,0,0,0,0,551,0,0,4.01
1927,7,211,0,3,540,0,3,.,0,235,0,0,0,0,552,0,0,4.01
1927,7,235,0,3,490,0,3500,.,0,211,0,0,0,0,553,0,0,4.01
1928,4,210,0,3,850,0,1,.,0,2,0,0,0,0,555,0,0,4.01
1928,1,385,0,3,9993,0,48,0,1,200,0,0,0,0,556,0,0,4.01
1929,6,135,1,3,155,1,8498,30000,0,155,1,1,0,0,557,0,0,4.01
1929,2,328,1,-9,328,-9,0,639,1,325,0,1,-9,0,558,1,0,4.01
1930,10,710,1,3,710,1,738,154416,0,200,0,0,0,0,559,0,0,4.01
1932,.,220,0,3,960,0,5,0,0,70,1,0,0,0,560,0,0,4.01
1932,10,645,1,-9,645,-9,301994,3560456,1,200,0,0,1,0,561,1,0,4.01
1932,1,740,1,1,711,0,1304292,32900000,1,710,1,1,0,0,562,0,1,4.01
1933,12,200,0,3,21,0,404519,289516,1,21,1,-9,0,0,563,0,0,4.01
1933,5,740,1,1,710,0,173960,2963027,0,710,1,1,0,0,564,0,1,4.01
1934,12,100,1,3,135,1,113882,40000,0,135,1,1,0,0,565,0,0,4.01
1934,.,325,0,3,625,0,1,.,0,220,0,0,0,0,566,0,0,4.01
1934,6,670,1,3,678,1,1,50,0,678,1,1,0,0,567,0,1,4.01
1935,10,150,1,1,145,1,233100,35000,0,145,1,1,0,0,568,0,0,4.01
1935,3,255,1,5,256,1,1912,812030,1,220,0,1,0,0,569,0,0,4.01
1935,1,325,0,3,522,0,800,.,0,220,0,0,0,0,570,0,0,4.01
1936,5,325,0,1,530,0,906499,7000000,1,530,1,-9,0,0,571,0,1,4.01
1937,7,740,1,1,710,0,1500000,.,0,710,1,1,0,0,572,0,1,4.01
1938,3,255,1,2,305,1,83869,6760000,1,305,1,-9,0,0,573,0,0,4.01
1938,9,255,1,3,315,1,28674,3653292,0,315,1,1,0,0,574,0,0,4.01
1938,10,290,1,2,315,1,1085,241698,0,315,1,1,0,0,575,0,0,4.01
1938,11,310,1,3,317,1,11826,1027450,0,315,1,1,0,0,576,0,0,4.01
1939,3,255,1,2,315,1,98909,9807096,1,315,1,-9,0,0,577,0,0,4.01
1939,3,255,1,2,368,1,2846,152660,0,368,1,1,0,0,578,0,0,4.01
1939,3,310,1,1,315,1,11094,522124,0,315,1,1,0,0,579,0,0,4.01
1939,3,317,1,4,317,-9,38456,2450096,1,315,0,1,-9,0,580,1,0,4.01
1939,4,325,1,1,339,1,28748,1003124,1,339,1,-9,0,0,581,0,1,4.01
1939,10,368,1,3,290,1,6656,457500,0,365,1,1,0,0,582,0,0,4.01
1939,6,640,1,3,652,1,5312,273350,0,220,0,0,0,0,583,0,0,4.01
1940,6,355,1,3,360,1,7421,.,0,360,1,1,0,0,584,0,0,4.01
1940,7,365,1,1,366,1,47549,1126000,1,366,1,-9,0,1,585,0,0,4.01
1940,7,365,1,1,367,1,65773,1950000,1,367,1,-9,0,1,586,0,0,4.01
1940,7,365,1,1,368,1,59464,2879070,1,368,1,-9,0,1,587,0,0,4.01
1941,4,530,1,3,530,-9,906499,15000000,1,325,0,0,1,0,588,1,1,4.01
1942,1,135,1,3,130,1,190807,31000,0,130,1,1,0,0,589,0,1,4.01
1944,7,395,1,4,395,-9,103000,132000,1,390,0,0,1,0,590,1,0,4.01
1945,9,2,0,3,741,0,2354,869287,1,740,1,1,0,0,591,0,1,4.01
1945,12,290,1,3,255,1,102556,5022000,0,255,1,1,0,0,592,0,1,4.01
1945,4,315,1,3,315,-9,127860,12900000,1,255,0,1,-9,0,593,1,1,4.01
1945,4,315,1,3,315,1,22922,1000000,0,310,1,1,-9,0,594,0,1,4.01
1945,4,315,1,2,317,1,38456,2450096,1,317,1,-9,-9,0,595,0,0,4.01
1945,5,339,1,3,339,-9,28748,1132000,1,325,0,1,-9,0,596,1,1,4.01
1945,4,365,1,3,255,1,13000,.,0,255,1,1,0,0,597,0,1,4.01
1945,2,365,1,3,290,1,179460,.,0,290,1,1,0,0,598,0,0,4.01
1945,6,365,1,3,315,1,7000,.,0,315,1,1,0,0,599,0,0,4.01
1945,9,365,1,3,740,1,41063,339357,0,740,1,1,0,0,600,0,1,4.01
1945,9,710,1,3,713,1,35763,6084000,1,740,0,1,0,0,601,0,1,4.01
1945,9,710,1,3,710,1,1500000,.,0,740,1,0,0,0,602,0,1,4.01
1945,4,1,-9,3,305,-9,83869,6952744,1,255,1,1,0,1,603,0,1,4.01
1945,9,1,-9,3,730,-9,220891,25100000,1,740,0,1,0,0,604,0,1,4.01
1945,9,1,-9,3,740,-9,371205,73100000,1,740,1,-9,0,1,605,0,1,4.01
1945,5,1,-9,1,255,-9,472605,69600000,1,255,1,-9,0,1,606,0,0,4.01
1946,4,652,1,-9,652,-9,184920,2978000,1,220,0,0,1,0,607,1,1,4.01
1946,8,660,1,-9,660,-9,10400,1156000,1,220,0,0,1,0,608,1,0,4.01
1946,3,663,1,-9,663,-9,89484,400000,1,200,0,0,1,0,609,1,0,4.01
1946,7,840,1,-9,840,-9,299404,18400000,1,2,0,0,1,0,610,1,0,4.01
1947,4,2,0,6,980,0,1779,47000,1,740,0,0,0,0,611,0,0,4.01
1947,2,220,1,3,325,1,1,.,0,325,1,1,0,0,612,0,1,4.01
1947,10,220,1,2,256,1,2567,874000,1,260,1,1,0,0,613,0,0,4.01
1947,2,315,1,3,310,1,1,.,0,310,1,1,0,0,614,0,1,4.01
1947,2,339,1,3,339,1,5,.,0,325,1,1,0,0,615,0,1,4.01
1947,2,345,1,3,325,1,3600,.,0,325,1,1,0,0,616,0,1,4.01
1947,2,350,1,3,3353,1,2681,115343,0,325,1,0,0,0,617,0,1,4.01
1947,2,365,1,1,360,1,49987,3500000,0,360,1,1,0,0,618,0,1,4.01
1947,2,365,1,3,375,1,44104,450000,0,375,1,1,0,0,619,0,1,4.01
1947,12,560,1,2,560,0,429,0,0,-9,1,-9,0,0,620,0,0,4.01
1947,8,750,1,-9,750,-9,2729368,345000,1,200,0,0,1,0,621,1,0,4.01
1947,8,770,1,-9,770,-9,863777,72200000,1,200,0,0,1,0,622,1,0,4.01
1947,12,900,0,3,9005,0,412,0,1,200,0,0,0,0,623,0,0,4.01
1947,2,1,-9,3,620,-9,1774149,1124000,1,325,0,0,0,0,624,0,1,4.01
1947,2,1,-9,3,326,-9,743,292000,1,325,1,1,0,0,625,0,1,4.01
1947,2,1,-9,3,520,-9,461541,1086000,1,325,0,0,0,0,626,0,1,4.01
1947,2,1,-9,3,531,-9,124000,1000000,1,325,0,0,0,0,627,0,1,4.01
1948,7,20,1,5,21,1,404519,324000,1,200,0,0,0,0,628,0,0,4.01
1948,5,666,1,-9,666,-9,12820,782000,1,200,0,0,1,0,629,1,1,4.01
1948,9,731,1,-9,731,-9,121129,8000000,1,365,0,1,1,0,630,1,0,4.01
1948,8,732,1,-9,732,-9,98500,20200000,1,2,0,0,1,0,631,1,0,4.01
1948,1,775,1,-9,775,-9,678034,18100000,1,200,0,0,1,0,632,1,0,4.01
1948,1,780,1,-9,780,-9,65610,7244000,1,200,0,0,1,0,633,1,0,4.01
1949,4,210,1,3,260,1,78,9000,0,260,1,1,0,0,634,0,0,4.01
1949,4,211,1,3,255,1,18,.,0,255,1,1,0,0,635,0,0,4.01
1949,4,212,1,3,255,1,6,.,0,255,1,1,0,0,636,0,0,4.01
1949,4,220,1,3,255,1,7,.,0,255,1,1,0,0,637,0,0,4.01
1949,4,325,0,6,520,0,461541,1086000,1,1,-9,-9,0,0,638,0,0,4.01
1949,2,651,1,1,666,1,258,405000,0,666,1,1,0,0,639,0,1,4.01
1949,7,663,1,1,666,1,5607,400000,0,666,1,1,0,0,640,0,1,4.01
1949,12,713,1,4,713,-9,36156,7099000,1,710,0,1,1,0,642,1,1,4.01
1949,1,750,1,1,7507,1,139860,2700000,0,770,1,1,0,0,643,0,1,4.01
1949,8,760,1,3,750,1,83,19920,0,750,1,1,0,0,644,0,0,4.01
1949,8,760,1,-9,760,-9,46600,300000,1,750,0,1,1,0,645,1,0,4.01
1949,1,770,1,1,7507,1,32024,1320000,0,750,1,1,0,0,646,0,1,4.01
1949,12,850,1,-9,850,-9,1491562,74800000,1,210,0,0,1,0,647,1,1,4.01
1950,12,750,1,3,751,1,10,44786,0,220,0,0,0,0,648,0,0,4.01
1950,12,750,1,3,761,1,7298,137158,1,761,1,-9,0,0,649,0,0,4.01
1951,5,290,1,3,365,1,240,7000,0,365,1,1,0,0,650,0,0,4.01
1951,5,365,1,3,290,1,240,7000,0,290,1,1,0,0,651,0,0,4.01
1951,12,620,1,-9,620,-9,1774149,1091830,1,1,-9,-9,1,0,652,1,0,4.01
1952,9,530,1,5,531,1,124000,1000000,1,1,-9,-9,0,0,653,0,0,4.01
1952,4,740,1,-9,740,-9,371205,83200000,1,1,-9,-9,-9,0,654,1,0,4.01
1953,12,740,1,3,741,1,1000,.,0,2,0,0,0,0,655,0,0,4.01
1953,11,811,1,-9,811,-9,172511,4440000,1,220,0,0,1,0,656,1,0,4.01
1954,3,265,1,-9,265,-9,107834,18100000,1,365,0,0,1,0,657,1,0,4.01
1954,10,325,1,3,326,1,223,297000,0,1,-9,-9,0,0,658,0,0,4.01
1954,10,345,1,3,326,1,516,62725,0,1,-9,-9,0,0,659,0,0,4.01
1954,11,750,1,3,751,1,503,323000,1,220,0,0,0,0,660,0,0,4.01
1953,12,812,1,-9,812,-9,236800,1505000,1,220,0,0,1,0,661,1,0,4.01
1954,12,816,1,-9,816,-9,155203,16100000,1,220,0,0,1,0,662,1,1,4.01
1954,12,817,1,-9,817,-9,168350,9934000,1,220,0,0,1,0,663,1,1,4.01
1955,.,220,0,3,620,0,26000,.,0,620,1,1,0,0,664,0,0,4.01
1955,5,260,1,-9,260,-9,247476,50200000,1,1,-9,-9,1,0,665,0,0,4.01
1955,7,305,1,-9,305,-9,83869,6947000,1,1,-9,-9,1,0,666,0,0,4.01
1955,2,710,1,3,713,1,1,300,0,713,1,1,0,0,667,0,1,4.01
1955,11,900,0,3,9002,0,14,500,1,200,0,0,0,0,668,0,0,4.01
1956,9,260,1,3,211,1,1,648,0,211,1,1,0,0,669,0,0,4.01
1956,3,600,1,-9,600,-9,380800,8955000,1,220,0,0,1,0,670,1,0,4.01
1956,4,600,1,3,602,1,19656,1045000,0,230,0,1,0,0,671,0,0,4.01
1956,10,600,1,3,601,1,349,183000,1,1,-9,-9,0,0,672,0,0,4.01
1956,3,616,1,-9,616,-9,125180,3963000,1,220,0,0,1,0,673,1,0,4.01
1956,1,625,1,-9,625,-9,2505823,10300000,1,200,0,0,1,0,674,1,0,4.01
1956,6,651,1,3,651,1,1,.,0,200,0,0,0,0,675,0,0,4.01
1956,10,740,1,3,365,1,500,.,0,365,1,1,0,0,676,0,0,4.01
1957,1,260,1,3,256,1,2567,992000,1,220,0,1,0,0,677,0,0,4.01
1957,3,452,1,-9,452,-9,204097,6250000,1,200,0,0,1,0,678,1,0,4.01
1957,3,452,1,5,462,1,33776,429000,1,200,0,0,0,0,679,0,0,4.01
1957,8,820,1,-9,820,-9,131287,6279000,1,200,0,0,1,0,680,1,0,4.01
1958,10,438,1,-9,438,-9,245857,2896000,1,220,0,0,1,0,681,1,0,4.01
1958,4,600,1,3,602,1,13219,9000,1,230,0,0,0,0,682,0,0,4.01
1958,2,651,1,5,652,0,1187338,29300000,1,652,1,0,0,0,683,0,0,4.01
1958,9,750,1,3,770,1,1,.,0,770,1,1,0,0,684,0,0,4.01
1958,9,770,1,3,750,1,1,300,0,750,1,1,0,0,685,0,0,4.01
1958,9,770,1,3,698,1,1,8146,0,698,0,0,0,0,686,0,0,4.01
1958,10,900,0,3,9002,0,135,3361,1,200,0,0,0,0,687,0,0,4.01
1960,11,91,1,3,93,1,20720,.,0,93,1,1,0,0,688,0,0,4.01
1960,8,352,1,-9,352,-9,9251,573000,1,200,0,0,1,0,689,1,0,4.01
1960,4,432,1,-9,432,-9,1401182,7172000,1,220,0,0,-9,0,690,1,0,4.01
1960,8,433,1,4,433,-9,197161,3110000,1,432,0,1,1,0,692,1,0,4.01
1960,8,434,1,-9,434,-9,115760,2050000,1,220,0,0,1,0,693,1,0,4.01
1960,11,435,1,-9,435,-9,1085805,970000,1,220,0,0,1,0,694,1,0,4.01
1960,8,436,1,-9,436,-9,1188794,2876000,1,220,0,0,1,0,695,1,0,4.01
1960,8,437,1,-9,437,-9,322463,3230000,1,220,0,0,1,0,696,1,0,4.01
1960,8,439,1,-9,439,-9,274200,4400000,1,220,0,0,1,0,697,1,0,4.01
1960,4,461,1,-9,461,-9,56600,1440000,1,220,0,0,1,0,698,1,0,4.01
1960,1,471,1,-9,471,-9,432012,4700000,1,220,0,0,1,0,699,1,0,4.01
1960,10,475,1,-9,475,-9,878447,52000000,1,200,0,0,1,0,700,1,0,4.01
1960,8,481,1,-9,481,-9,267000,446000,1,220,0,0,1,0,701,1,0,4.01
1960,8,482,1,-9,482,-9,626000,1227000,1,220,0,0,1,0,702,1,0,4.01
1960,8,483,1,-9,483,-9,1283000,3070000,1,220,0,0,1,0,703,1,0,4.01
1960,8,484,1,-9,484,-9,342000,773000,1,220,0,0,1,0,704,1,0,4.01
1960,6,490,1,-9,490,-9,2344932,14100000,1,211,0,0,1,0,705,1,0,4.01
1960,7,520,1,-9,520,-9,461541,1330000,1,325,0,0,1,0,706,1,0,4.01
1960,7,520,1,5,521,1,176120,650000,1,200,0,0,0,0,707,0,0,4.01
1960,6,580,1,-9,580,-9,590000,5393000,1,220,0,0,1,0,708,1,0,4.01
1961,8,434,1,1,434,1,2,12,0,235,0,0,0,0,709,0,0,4.01
1961,4,451,1,-9,451,-9,72326,2252000,1,200,0,0,1,0,710,1,0,4.01
1961,2,471,1,5,472,1,42945,840000,0,200,0,0,0,0,711,0,0,4.01
1961,2,475,1,5,472,1,45325,.,0,200,0,0,0,0,712,0,0,4.01
1961,12,510,1,-9,510,-9,939361,9399000,1,200,0,0,1,0,713,1,0,4.01
1961,9,652,1,4,652,-9,184920,4693000,1,651,0,0,1,0,714,1,0,4.01
1961,6,690,1,-9,690,-9,15540,322000,1,200,0,0,1,0,715,1,0,4.01
1961,10,710,1,3,775,1,161,0,0,775,1,1,0,0,716,0,0,4.01
1961,12,750,1,1,752,1,4193,649660,1,235,0,0,0,0,717,0,1,4.01
1961,10,790,1,3,710,1,780,31200,0,710,1,1,0,0,718,0,0,4.01
1962,8,51,1,-9,51,-9,11424,1661000,1,200,0,0,1,0,719,1,0,4.01
1962,8,52,1,-9,52,-9,5128,900000,1,200,0,0,1,0,720,1,0,4.01
1962,10,500,1,-9,500,-9,243411,7016000,1,200,0,0,1,0,721,1,0,4.01
1962,7,516,1,-9,516,-9,27834,3025000,1,211,0,0,1,0,722,1,0,4.01
1962,7,517,1,-9,517,-9,26388,2840000,1,211,0,0,1,0,723,1,0,4.01
1962,7,615,1,-9,615,-9,2381741,10900000,1,220,0,0,1,0,724,1,1,4.01
1962,1,990,1,-9,990,-9,2823,116000,1,920,0,0,1,0,725,1,0,4.01
1963,7,70,1,3,2,1,2,100,0,2,1,1,0,0,726,0,0,4.01
1963,8,260,1,3,210,1,1,.,0,210,1,1,0,0,727,0,0,4.01
1963,12,501,1,-9,501,-9,582646,8847000,1,200,0,0,1,0,728,1,0,4.01
1963,12,511,1,-9,511,-9,2642,329000,1,200,0,0,1,0,729,1,0,4.01
1963,3,770,1,3,710,1,1942,9136,0,710,1,1,0,0,730,0,0,4.01
1963,10,820,1,5,830,1,583,1733000,1,200,0,0,0,0,731,0,0,4.01
1963,10,820,1,5,823,0,76115,478000,1,200,0,0,0,0,732,0,0,4.01
1963,10,820,1,5,824,0,124967,778000,1,200,0,0,0,0,733,0,0,4.01
1963,5,850,1,3,851,1,412781,751000,1,210,0,0,0,0,734,0,1,4.01
1964,9,338,1,-9,338,-9,316,324000,1,200,0,0,1,0,735,1,0,4.01
1964,4,510,1,5,511,1,942003,11400000,1,511,1,1,0,0,736,0,0,4.01
1964,10,551,1,-9,551,-9,751936,3600000,1,200,0,0,1,0,737,1,0,4.01
1964,7,553,1,-9,553,-9,119311,3845000,1,200,0,0,1,0,738,1,0,4.01
1965,2,420,1,-9,420,-9,10368,330000,1,200,0,0,1,0,739,1,0,4.01
1965,8,663,1,3,670,1,750,750,0,670,1,1,0,0,740,0,0,4.01
1965,8,670,1,3,663,1,750,750,0,663,1,1,0,0,741,0,0,4.01
1965,7,781,1,-9,781,-9,298,98000,1,200,0,0,-9,0,742,1,0,4.01
1965,8,830,1,4,830,-9,583,1865000,1,820,0,1,1,0,743,1,0,4.01
1966,11,53,1,-9,53,-9,430,238000,1,200,0,0,1,0,744,1,0,4.01
1966,5,110,1,-9,110,-9,210000,714223,1,200,0,0,1,0,745,1,0,4.01
1966,10,570,1,-9,570,-9,30340,1080857,1,200,0,0,1,0,746,1,0,4.01
1966,9,571,1,-9,571,-9,575000,667000,1,200,0,0,1,0,747,1,0,4.01
1967,6,666,1,1,651,1,53242,418800,0,651,1,1,0,0,748,0,1,4.01
1967,6,666,1,1,652,1,1710,60000,0,652,1,1,0,0,749,0,1,4.01
1967,6,666,1,1,663,1,5878,674500,0,663,1,1,0,0,750,0,1,4.01
1967,11,680,1,-9,680,-9,160300,1250000,1,200,0,0,1,0,751,1,0,4.01
1967,.,698,1,3,698,1,73,85,0,200,0,0,0,0,752,0,0,4.01
1968,10,411,1,-9,411,-9,28051,290000,1,230,0,0,1,0,753,1,0,4.01
1968,9,572,1,-9,572,-9,17400,442195,1,200,0,0,1,0,754,1,0,4.01
1968,3,590,1,-9,590,-9,1865,830700,1,200,0,0,1,0,755,1,0,4.01
1968,6,740,1,3,.,0,100,.,0,2,0,0,0,0,756,0,0,4.01
1968,2,750,1,3,770,1,7000,.,0,770,1,1,0,0,757,0,0,4.01
1968,2,770,1,3,750,1,780,187200,0,750,1,1,0,0,758,0,0,4.01
1968,1,970,1,-9,970,-9,22,6603,1,900,0,0,-9,0,759,1,0,4.01
1969,6,600,1,3,605,1,1505,51517,1,230,0,0,0,0,760,0,0,4.01
1969,12,670,1,3,690,1,2850,2080,0,690,1,1,0,0,761,0,0,4.01
1969,12,690,1,3,670,1,2850,2080,0,670,1,1,0,0,762,0,0,4.01
1970,10,950,1,-9,950,-9,18272,524457,1,200,0,0,1,0,763,1,0,4.01
1970,6,955,1,-9,955,-9,700,87406,1,200,0,0,-9,0,764,1,0,4.01
1971,4,93,0,3,93,1,6,2116,0,2,0,0,0,0,765,0,0,4.01
1971,11,630,1,1,696,1,1,100,0,696,1,1,0,0,766,0,1,4.01
1971,11,630,1,2,696,1,1,100,0,696,1,1,0,0,767,0,0,4.01
1971,7,692,1,-9,692,-9,723,216815,1,200,0,0,1,0,768,1,0,4.01
1971,9,694,1,-9,694,-9,11000,160000,1,200,0,0,1,0,769,1,0,4.01
1971,12,696,1,5,696,1,90410,154656,0,696,1,1,-9,0,770,0,0,4.01
1971,12,750,1,1,770,1,13361,5000000,0,770,1,1,0,0,774,0,1,4.01
1971,12,770,1,1,750,1,315,75600,0,750,1,1,0,0,775,0,0,4.01
1971,12,771,1,4,771,-9,144020,71300000,1,770,0,0,-9,0,776,1,1,4.01
1972,.,91,1,3,91,1,3,.,0,2,0,0,0,0,777,0,0,4.01
1972,.,678,1,2,680,1,182,1000,0,680,1,0,0,0,778,0,0,4.01
1972,2,696,1,5,696,1,1690,24482,0,696,1,-9,0,0,779,0,0,4.01
1972,5,740,1,3,741,1,848,934176,1,2,0,0,0,0,780,0,0,4.01
1972,7,750,1,3,750,1,179,.,0,770,1,1,0,0,781,0,0,4.01
1972,7,770,1,3,770,1,14609,3506160,0,750,1,1,0,0,782,0,0,4.01
1973,7,31,1,-9,31,-9,13864,168812,1,200,0,0,1,0,783,1,0,4.01
1973,6,620,1,1,483,1,78000,78000,0,483,1,1,0,0,784,0,0,4.01
1973,10,666,1,1,652,1,780,15000,0,652,1,1,0,0,785,0,1,4.01
1974,2,55,1,-9,55,-9,344,107779,1,200,0,0,1,0,787,1,0,4.01
1974,9,404,1,-9,404,-9,36125,487448,1,235,0,0,1,0,788,1,0,4.01
1974,8,640,1,1,352,1,3640,250000,0,352,1,1,0,0,789,0,1,4.01
1974,1,651,1,3,651,1,1000,1000,0,666,1,1,0,0,790,0,0,4.01
1974,6,780,1,3,750,1,1,100,0,750,1,1,0,0,791,0,0,4.01
1975,11,115,1,-9,115,-9,163265,414000,1,210,0,0,1,0,792,1,0,4.01
1975,7,402,1,-9,402,-9,4033,272071,1,235,0,0,1,0,793,1,0,4.01
1975,7,403,1,-9,403,-9,964,76430,1,235,0,0,1,0,794,1,0,4.01
1975,11,540,1,-9,540,-9,1246700,5673046,1,235,0,0,1,0,795,1,1,4.01
1975,6,541,1,-9,541,-9,784961,8233834,1,235,0,0,1,0,796,1,0,4.01
1975,7,581,1,-9,581,-9,1862,252000,1,220,0,0,1,0,797,1,0,4.01
1975,7,645,1,3,670,1,3500,.,0,670,1,1,0,0,798,0,0,4.01
1975,11,651,1,3,651,1,20000,2000,0,666,1,1,0,0,799,0,0,4.01
1975,7,670,1,3,645,1,3500,2000,0,645,1,1,0,0,800,0,0,4.01
1975,4,816,1,1,817,1,174481,18300000,1,817,1,-9,0,1,801,0,1,4.01
1975,9,910,1,-9,910,-9,462840,2600000,1,900,0,1,1,0,802,1,0,4.01
1976,2,220,0,4,5812,0,374,38000,1,581,1,1,0,0,803,0,0,4.01
1976,4,435,1,3,609,1,88667,.,0,230,0,0,0,0,804,0,0,4.01
1976,6,591,1,-9,591,-9,404,59000,1,200,0,0,1,0,805,1,0,4.01
1976,6,591,0,3,5920,1,27,.,0,200,0,0,0,0,806,0,0,4.01
1976,4,600,1,3,609,1,177667,.,0,230,0,0,0,0,807,0,0,4.01
1976,6,652,1,3,652,1,780,.,0,666,1,1,0,0,808,0,0,4.01
1976,7,850,1,1,860,1,14984,610541,1,235,0,0,0,0,809,0,0,4.01
1977,6,522,1,-9,522,-9,23000,300000,1,220,0,0,1,0,810,1,0,4.01
1978,11,54,1,-9,54,-9,728,78000,1,200,0,0,1,0,811,1,0,4.01
1978,4,95,1,3,96,1,1676,41800,1,2,0,0,0,0,812,0,0,4.01
1978,7,940,1,-9,940,-9,29785,196823,1,200,0,0,1,0,813,1,0,4.01
1978,10,947,1,-9,947,-9,24,5887,1,200,0,0,-9,0,814,1,0,4.01
1979,2,56,1,-9,56,-9,616,121000,1,200,0,0,1,0,815,1,0,4.01
1979,10,57,1,-9,57,-9,389,120000,1,200,0,0,-9,0,816,1,0,4.01
1979,5,651,1,3,651,1,20000,2000,0,666,1,1,0,0,817,0,0,4.01
1979,7,946,1,-9,946,-9,572,57816,1,200,0,0,-9,0,818,1,0,4.01
1980,4,552,1,-9,552,-9,390622,7360000,1,200,0,0,1,0,819,1,0,4.01
1980,.,600,1,3,435,1,88667,100000,0,435,1,1,0,0,820,0,0,4.01
1980,7,935,1,-9,935,-9,14760,97468,1,220,0,0,-9,0,821,1,0,4.01
1981,7,100,1,3,1101,0,10,0,1,2,0,0,0,0,822,0,0,4.01
1981,9,80,1,-9,80,-9,22800,148300,1,200,0,0,1,0,823,1,0,4.01
1981,11,58,1,-9,58,-9,440,77000,1,200,0,0,1,0,824,1,0,4.01
1981,12,645,1,3,.,1,3333,0,0,-9,-9,-9,0,0,825,0,0,4.01
1981,12,670,1,3,.,1,3333,0,0,-9,-9,-9,0,0,826,0,0,4.01
1983,9,60,1,-9,60,-9,360,44500,1,200,0,0,1,0,827,1,0,4.01
1984,1,835,1,-9,835,-9,5270,215000,1,200,0,0,1,0,828,1,0,4.01
1984,11,155,1,3,.,1,1079,0,0,-9,-9,-9,0,0,829,0,0,4.01
1984,11,160,1,3,.,1,1083,0,0,-9,-9,-9,0,0,830,0,0,4.01
1986,10,983,1,-9,983,-9,181,40000,1,2,0,0,0,0,831,1,0,4.01
1986,11,987,1,-9,987,-9,702,95000,1,2,0,0,0,0,832,1,0,4.01
1986,12,432,1,3,439,1,1553,65000,0,439,1,1,0,0,833,0,1,4.01
1989,3,651,1,3,666,1,1,0,0,666,1,1,0,0,834,0,0,4.01
1990,3,565,1,-9,565,-9,823290,1372000,0,560,0,1,1,0,835,1,1,4.01
1990,5,679,1,5,680,1,329111,2488000,1,680,1,1,0,1,836,0,0,4.01
1990,10,255,1,5,265,1,108333,16600000,1,265,1,1,0,1,837,0,0,4.01
1991,4,372,1,4,372,-9,69700,5500000,1,365,1,1,1,0,838,1,0,4.01
1991,6,344,1,4,344,-9,56410,4763000,1,345,1,1,1,0,839,1,1,4.01
1991,6,349,1,4,349,-9,20256,1974000,1,345,1,1,1,0,840,1,1,4.01
1991,8,359,1,4,359,-9,33700,4350000,1,365,1,1,1,0,841,1,0,4.01
1991,8,370,1,4,370,-9,207600,10200000,1,365,1,1,1,0,842,1,0,4.01
1991,8,373,1,4,373,-9,86600,7200000,1,365,1,1,1,0,843,1,0,4.01
1991,8,703,1,4,703,-9,198500,4375000,1,365,1,1,1,0,844,1,0,4.01
1991,8,704,1,4,704,-9,447400,20300000,1,365,1,1,1,0,845,1,0,4.01
1991,9,366,1,4,366,-9,45227,1581000,1,365,1,1,1,0,846,1,0,4.01
1991,9,367,1,4,367,-9,64610,2600000,1,365,1,1,1,0,847,1,0,4.01
1991,9,368,1,4,368,-9,65301,3754000,1,365,1,1,1,0,848,1,0,4.01
1991,9,371,1,4,371,-9,28400,3450000,1,365,1,1,1,0,849,1,0,4.01
1991,9,702,1,4,702,-9,143100,5250000,1,365,1,1,1,0,850,1,0,4.01
1991,10,701,1,4,701,-9,488100,3600000,1,365,1,1,1,0,851,1,0,4.01
1993,4,343,1,4,343,-9,24856,2109000,1,345,1,1,1,0,852,1,0,4.01
1991,12,369,1,4,369,-9,603700,52000000,1,365,1,1,1,0,853,1,0,4.01
1991,12,705,1,4,705,-9,2717300,16700000,1,365,1,1,1,0,854,1,0,4.01
1992,4,346,1,4,346,-9,51107,4455000,1,345,1,1,1,0,855,1,1,4.01
1992,9,92,1,3,.,1,147,36000,0,-9,-9,-9,0,0,856,0,0,4.01
1992,9,91,1,3,.,1,293,13000,0,-9,-9,-9,0,0,857,0,0,4.01
1992,10,679,1,3,698,1,1875,0,0,698,1,1,0,0,858,0,0,4.01
1992,10,698,1,3,679,1,1250,0,0,679,1,1,0,0,859,0,0,4.01
1992,6,771,1,3,7712,1,1,20,1,750,1,1,0,0,860,0,0,4.01
1993,1,316,1,4,316,-9,79228,10300000,1,315,1,1,1,1,861,1,0,4.01
1993,1,317,1,4,317,-9,48666,5200000,1,315,1,1,1,1,862,1,0,4.01
1993,4,531,1,4,531,-9,124993,3000000,1,530,1,1,1,0,863,1,1,4.01
1993,5,690,1,3,645,1,.,0,0,645,1,1,0,0,864,0,0,4.01
1994,3,565,1,3,5651,1,1124,30000,1,560,0,0,0,0,865,0,0,4.01
1994,10,986,1,-9,980,-9,487,15600,0,2,0,0,1,0,866,1,0,4.01
1995,2,663,1,3,666,1,340,0,0,666,1,1,0,0,867,0,0,4.01
1996,4,710,1,3,365,1,18,0,0,365,1,1,0,0,868,0,0,4.01
1997,6,316,1,3,317,1,4.52,31,0,317,1,1,0,0,869,0,0,4.01
1997,6,317,1,3,316,1,4.52,120,0,316,1,1,0,0,870,0,0,4.01
1997,7,710,1,3,720,1,1084,6700000,1,200,0,0,0,0,871,0,0,4.01
